storm-breaker	github-clone	ultrasecurity/Storm-Breaker	script-clone
subcat	pypi	subcat	rolling-download
subfinder	go	github.com/projectdiscovery/subfinder/v2/cmd/subfinder	rolling-download
subjack	go	github.com/haccer/subjack	rolling-download
subzy	go	github.com/PentestPad/subzy	rolling-download
superfile	github-clone	yorukot/superfile	script-clone
takeover	github-clone	edoardottt/takeover	script-clone
term-helper	none		passive
termsploit	github-clone	Anon4You/termsploit-framework	script-clone
termux-ai	none		passive
termux-desktop	none		static-data
termux-desktop-wallpapers	none		static-data
termux-media-downloader	github-clone	Anon4You/Termux-Media-Downloader	rolling-download
termux-penv	none		static-data
termuxfetch	none		static-data
thc-hydra	github-clone	vanhauser-thc/thc-hydra	script-clone
the-theif	none		rolling-download
theharvester	none		rolling-download
thezoo	github-clone	ytisf/theZoo	script-clone
tookie-osint	github-clone	Alfredredbird/tookie-osint	script-clone
trufflehog	github-tag	trufflesecurity/trufflehog	script-clone
tte	pypi	terminaltexteffects	rolling-download
unfurl	go	github.com/tomnomnom/unfurl	rolling-download
user-scanner	pypi	user-scanner	rolling-download
vedic	github-clone	vedic-lang/vedic	script-clone
venom	github-clone	Anon4You/Venom	script-clone
void-fonts	github-clone	termuxvoid/Void-Fonts	script-clone
vulnx	go	github.com/projectdiscovery/vulnx/v2/cmd/vulnx	rolling-download
wacli	github-clone	steipete/wacli	script-clone
wafw00f	pypi	wafw00f	rolling-download
waybackurls	go	github.com/tomnomnom/waybackurls	rolling-download
waymap	github-clone	TrixSec/waymap	script-clone
webhost	npm	http-server	rolling-download
webinfo	none		static-data
webserver	none		static-data
websploit	github-clone	f4rih/websploit	script-clone
weeman	github-clone	evait-security/weeman	script-clone
whatbreach	github-clone	Ekultek/WhatBreach	script-clone
whatsapp-cli	github-clone	vicentereig/whatsapp-cli	script-clone
wipwn	github-clone	anbuinfosec/wipwn	script-clone
wordlists	github-release	brannondorsey/naive-hashcat	script-clone
wpscan	gem	wpscan	rolling-download
xbomber	github-clone	Anon4You/XBomber	script-clone
xss-loader	github-clone	capture0x/XSS-LOADER	script-clone
xsstrike	github-clone	s0md3v/XSStrike	script-clone
zaproxy	github-release	zaproxy/zaproxy	rolling-download
zen-c	github-clone	z-libs/Zen-C	script-clone
zero-termux	none		static-data
zero-termux-theme	github-clone	termuxvoid/TermuxVoid-Theme	script-clone
zipcracker	none		static-data
